F4_CODIGO;F4_ICM;F4_IPI;F4_CF;
 001; S; S; 1102 ;
 002; S; N; 1102 ;
 003; S; S; 1102 ;
 004; S; S; 1102 ;
 005; N; N; 1403 ;
 006; S; S; 1403 ;
 007; S; S; 3102 ;
 008; N; N; 1102 ;
 009; N; S; 3102 ;
 010; N; N; 1102 ;
 011; S; N; 1403 ;
 012; N; N; 1102 ;
 021; S; N; 1101 ;
 022; S; S; 1101 ;
 023; N; N; 3101 ;
 024; N; N; 1401 ;
 031; S; N; 1551 ;
 032; S; N; 2551 ;
 033; S; S; 1551 ;
 034; S; S; 2551 ;
 035; N; N; 1406 ;
 036; S; S; 1406 ;
 037; N; S; 3551 ;
 038; N; N; 1949 ;
 041; S; N; 1556 ;
 042; S; N; 2556 ;
 043; S; N; 1556 ;
 044; N; N; 1407 ;
 045; N; N; 1253 ;
 046; N; N; 1253 ;
 047; S; N; 1303 ;
 048; S; N; 1303 ;
 049; S; S; 3556 ;
 050; N; N; 1556 ;
 051; N; N; 1302 ;
 052; N; N; 1303 ;
 053; S; N; 1949 ;
 054; S; S; 1556 ;
 061; N; N; 1202 ;
 062; S; N; 1202 ;
 063; S; S; 1202 ;
 064; S; N; 1201 ;
 065; S; N; 1202 ;
 071; S; N; 1917 ;
 072; N; N; 1917 ;
 081; N; S; 1908 ;
 082; N; N; 1908 ;
 083; N; N; 1908 ;
 091; N; S; 1949 ;
 092; N; S; 1949 ;
 093; S; N; 1949 ;
 094; S; N; 1949 ;
 095; N; N; 1949 ;
 096; N; N; 1949 ;
 097; S; N; 1949 ;
 101; S; S; 1910 ;
 102; S; S; 1910 ;
 103; S; N; 1910 ;
 104; S; N; 1910 ;
 105; N; N; 1910 ;
 111; S; S; 1556 ;
 112; S; S; 1910 ;
 113; S; N; 1556 ;
 114; S; N; 1910 ;
 122; S; S; 1910 ;
 124; S; N; 1910 ;
 131; S; N; 1912 ;
 132; S; S; 1912 ;
 133; N; N; 1912 ;
 134; S; N; 1912 ;
 135; S; N; 1913 ;
 136; N; N; 1913 ;
 137; S; N; 1913 ;
 138; S; N; 1913 ;
 141; N; N; 1916 ;
 142; N; N; 1916 ;
 143; N; N; 1915 ;
 144; N; N; 1916 ;
 151; S; N; 1152 ;
 152; S; N; 1152 ;
 153; N; N; 1152 ;
 154; N; N; 1552 ;
 161; N; N; 1949 ;
 162; N; N; 1949 ;
 163; N; N; 1949 ;
 164; N; N; 1949 ;
 165; N; N; 1949 ;
 166; N; N; 1949 ;
 167; N; N; 1949 ;
 168; N; N; 1949 ;
 169; N; N; 1949 ;
 170; N; N; 1949 ;
 171; N; N; 1933 ;
 172; N; N; 3949 ;
 173; N; N; 1949 ;
 181; S; N; 1353 ;
 182; S; N; 1353 ;
 183; S; N; 1353 ;
 184; S; N; 1352 ;
 185; S; N; 1352 ;
 186; S; N; 1352 ;
 187; S; N; 1352 ;
 191; C; N; 1907 ;
 192; N; N; 1906 ;
 193; N; N; 1907 ;
 194; N; N; 1906 ;
 201; S; N; 1949 ;
 202; N; N; 1949 ;
 203; S; S; 1949 ;
 206; N; N; 1902 ;
 211; N; N; 1949 ;
 212; S; N; 1949 ;
 213; N; N; 1949 ;
 214; S; N; 1949 ;
 221; S; S; 1949 ;
 222; N; N; 1914 ;
 231; N; N; 3949 ;
 241; N; N; 1124 ;
 251; N; N; 1101 ;
 252; N; N; 1401 ;
 253; N; N; 3127 ;
 501; S; N; 5109 ;
 502; S; S; 5102 ;
 503; N; N; 5405 ;
 504; N; N; 5102 ;
 505; S; S; 5102 ;
 506; N; N; 5405 ;
 507; S; N; 5403 ;
 508; S; N; 5403 ;
 509; S; N; 5102 ;
 521; S; N; 5101 ;
 522; S; N; 5101 ;
 531; S; N; 5202 ;
 532; S; N; 5202 ;
 533; N; N; 5411 ;
 534; S; N; 5556 ;
 535; S; N; 5413 ;
 536; N; N; 5410 ;
 541; N; S; 5949 ;
 542; S; N; 5949 ;
 543; S; N; 5949 ;
 544; N; N; 5949 ;
 545; S; N; 5949 ;
 551; N; N; 5910 ;
 552; N; N; 5949 ;
 561; S; S; 5912 ;
 562; N; N; 5912 ;
 563; N; N; 5912 ;
 564; S; N; 5912 ;
 565; S; N; 5913 ;
 566; S; N; 5912 ;
 567; N; N; 5913 ;
 568; N; N; 5913 ;
 571; N; N; 5915 ;
 572; N; N; 5915 ;
 573; N; N; 5916 ;
 581; S; N; 5152 ;
 582; S; N; 5151 ;
 583; N; N; 5152 ;
 584; N; N; 5552 ;
 591; N; N; 5949 ;
 592; N; N; 5949 ;
 593; N; N; 5949 ;
 601; S; N; 5949 ;
 602; S; N; 5949 ;
 701; N; N; 5551 ;
 706; S; N; 5102 ;
 707; N; S; 5102 ;
 708; S; S; 5102 ;
 709; S; N; 5102 ;
 716; N; N; 5905 ;
 726; N; N; 5901 ;
 731; N; N; 5102 ;
 732; N; N; 7949 ;
 733; N; N; 7949 ;
 736; S; N; 5949 ;
 737; S; S; 5949 ;
 741; N; N; 5949 ;
 742; S; N; 5949 ;
 743; N; N; 5949 ;
 744; S; N; 5949 ;
 745; N; N; 5949 ;
 748; N; N; 5949 ;
 751; N; N; 5914 ;
 999; S; N; 5109 ;
 174; N; N; 1933 ;
 002; N; N; 1102 ;
 503; S; N; 5102 ;
 504; S; S; 5102 ;
 505; S; S; 5102 ;
 506; S; N; 5102 ;
 507; S; N; 5102 ;
 508; S; N; 5102 ;
 509; S; S; 5102 ;
 510; S; N; 5102 ;
 511; S; N; 5102 ;
 512; S; S; 5403 ;
 513; S; S; 5403 ;
 514; S; N; 5403 ;
 515; N; N; 5405 ;
 516; N; N; 5405 ;
 517; N; N; 5502 ;
 518; N; N; 5502 ;
 519; S; N; 5102 ;
 520; S; N; 5102 ;
 521; S; N; 5102 ;
 522; S; N; 5102 ;
 523; S; S; 5102 ;
 524; S; N; 6110 ;
 525; S; N; 6110 ;
 526; S; N; 6110 ;
 527; S; N; 6110 ;
 528; S; N; 6110 ;
 529; S; N; 6110 ;
 530; S; N; 6110 ;
 531; S; N; 6110 ;
 532; S; N; 6110 ;
 533; N; N; 6110 ;
 534; N; N; 6110 ;
 535; N; N; 6110 ;
 536; S; N; 6110 ;
 537; S; N; 6110 ;
 501; N; N; 5933 ;
 002; S; N; 1102 ;
 004; S; N; 1102 ;
 005; S; S; 2102 ;
 006; S; N; 1102 ;
 538; S; S; 6403 ;
 539; S; S; 6102 ;
 540; S; N; 6102 ;
 541; S; S; 6403 ;
 542; S; S; 6102 ;
 543; S; S; 6102 ;
 544; S; N; 6403 ;
 545; S; N; 6403 ;
 546; S; S; 6403 ;
 547; S; S; 6403 ;
 548; S; N; 6102 ;
 549; S; S; 6108 ;
 550; S; N; 6404 ;
 551; S; N; 6102 ;
 552; S; N; 6102 ;
 553; S; N; 6403 ;
 554; S; N; 6102 ;
 555; S; S; 5910 ;
 556; S; S; 6910 ;
 557; S; S; 6910 ;
 558; S; N; 6910 ;
 559; S; S; 6910 ;
 900; N; N; 5933 ;
 007; N; N; 2102 ;
 008; N; N; 1407 ;
 009; N; S; 1551 ;
 800; N; N; 5101 ;
 801; N; N; 6101 ;
 802; N; N; 5102 ;
 803; N; N; 6107 ;
 400; N; N; 1933 ;
 401; N; N; 1933 ;
 604; S; S; 5102 ;
 602; S; S; 5102 ;
 603; S; N; 5102 ;
 606; S; N; 5102 ;
 610; S; N; 5102 ;
 611; S; N; 5102 ;
 616; N; N; 5405 ;
 639; S; S; 6102 ;
 640; S; N; 6102 ;
 648; S; N; 6102 ;
 650; S; N; 6404 ;
 657; S; S; 6910 ;
 560; S; S; 5910 ;
 561; S; N; 5910 ;
 562; S; N; 5910 ;
 563; N; N; 5910 ;
 564; S; N; 5910 ;
 565; S; N; 5910 ;
 566; S; N; 5911 ;
 567; S; N; 5911 ;
 568; S; S; 5911 ;
 569; S; N; 5102 ;
 570; N; N; 5102 ;
 571; N; N; 5911 ;
 655; S; S; 5910 ;
 656; S; S; 6910 ;
 658; S; N; 6910 ;
 660; S; S; 5910 ;
 661; S; N; 5910 ;
 662; S; N; 5910 ;
 663; N; N; 5910 ;
 664; S; N; 5910 ;
 665; S; N; 5910 ;
 666; S; N; 5911 ;
 667; S; N; 5911 ;
 668; S; S; 5911 ;
 671; N; N; 5911 ;
 572; S; N; 6910 ;
 573; S; N; 6911 ;
 672; S; N; 6910 ;
 673; S; N; 6911 ;
 574; S; N; 6910 ;
 674; S; N; 6910 ;
 575; S; N; 5910 ;
 675; S; N; 5910 ;
 576; S; S; 6949 ;
 577; S; S; 6949 ;
 578; S; N; 6949 ;
 579; N; N; 6403 ;
 580; S; S; 6202 ;
 581; S; N; 6102 ;
 582; S; S; 6108 ;
 583; S; N; 6403 ;
 584; N; N; 5927 ;
 585; N; N; 5927 ;
 586; N; N; 5927 ;
 587; S; S; 6949 ;
 588; S; S; 6949 ;
 589; S; S; 5949 ;
 590; S; S; 5949 ;
 591; S; N; 6949 ;
 592; S; N; 6949 ;
 593; S; N; 5949 ;
 594; S; S; 5949 ;
 595; S; S; 6102 ;
 596; N; N; 5927 ;
 597; S; N; 6910 ;
 598; S; N; 6403 ;
 599; N; N; 6949 ;
 011; S; S; 2202 ;
 012; S; N; 2202 ;
 013; S; S; 2411 ;
 014; S; N; 2411 ;
 015; S; S; 2411 ;
 016; N; S; 1949 ;
 017; S; N; 1949 ;
 018; S; N; 1353 ;
 019; N; N; 1353 ;
 020; N; N; 1303 ;
 021; N; N; 1253 ;
 804; N; N; 5949 ;
 805; N; S; 6949 ;
 806; N; N; 6908 ;
 807; N; S; 5949 ;
 808; N; N; 6916 ;
 809; N; N; 5908 ;
 810; S; N; 5101 ;
 811; S; N; 5101 ;
 812; S; N; 6101 ;
 813; N; N; 5927 ;
 814; N; N; 5901 ;
 401; N; N; 1909 ;
 402; N; N; 1909 ;
 815; N; N; 6949 ;
 403; N; N; 2949 ;
 022; S; S; 1101 ;
 701; N; N; 6949 ;
 702; S; S; 6911 ;
 703; S; S; 5910 ;
 704; S; N; 6553 ;
 705; S; N; 6553 ;
 706; S; S; 5910 ;
 707; S; S; 5910 ;
 708; S; N; 6110 ;
 709; S; S; 6110 ;
 710; S; S; 6110 ;
 711; S; N; 5102 ;
 816; N; N; 6102 ;
 817; N; N; 6108 ;
 676; S; N; 6107 ;
 712; S; N; 5206 ;
 713; S; S; 5910 ;
 714; S; S; 5910 ;
 715; S; S; 6910 ;
 716; S; S; 6910 ;
 717; S; S; 6910 ;
 718; S; N; 5949 ;
 719; S; N; 6102 ;
 720; N; N; 6202 ;
 721; N; N; 6949 ;
 722; N; N; 5502 ;
 723; S; N; 6110 ;
 724; N; N; 6110 ;
 725; S; N; 6110 ;
 677; S; N; 6911 ;
 678; S; N; 6911 ;
 726; N; N; 7949 ;
 727; S; N; 5202 ;
 023; N; N; 2918 ;
 024; N; S; 2918 ;
 025; S; N; 2918 ;
 026; S; N; 2918 ;
 027; S; S; 2918 ;
 028; N; N; 2918 ;
 029; S; N; 1918 ;
 030; N; N; 1914 ;
 031; N; N; 1914 ;
 032; S; S; 2202 ;
 034; S; N; 2202 ;
 035; S; S; 2949 ;
 036; S; S; 3102 ;
 037; S; N; 3102 ;
 010; N; N; 1252 ;
 038; N; N; 1303 ;
 042; S; N; 1102 ;
 043; S; N; 2101 ;
 669; S; N; 5911 ;
 818; S; N; 6101 ;
 728; S; S; 6108 ;
 729; S; S; 6108 ;
 730; N; N; 6101 ;
 731; N; N; 5102 ;
 039; S; N; 1551 ;
 044; S; N; 1353 ;
 045; N; N; 1353 ;
 040; N; N; 3102 ;
 601; N; N; 5933 ;
