codigo;codigo_interno
BR000001;
BR000002;
BR000003;
BR000004;
BR000005;
BR000006;
BR000007;
BR000008;
BR000009;
BR000010;
BR000011;
BR000012;
BR000013;
BR000015;
BR000016;
BR000017;
BR000018;
BR000019;
PA000001;300W600 30
PA000002;41W600-25K
PA000003;EI-41W800-
PA000004;EI-105W800
PA000005;EI-114W800
PA000006;EI-120W800
PA000007;EI-133W800
PA000008;EI-150W800
PA000009;EI-180W800
PA000010;EI-240W600
PA000011;EI-240W800
PA000012;EI-35W800-
PA000013;EI-57W600-
PA000014;EI-57W800-
PA000015;EI-66W800G
PA000016;EI-66W600-
PA000017;EI-66W600-
PA000018;EI-76W800G
PA000019;EI-76W800-
PA000020;EI-85W800-
PA000021;EI-96W600
PA000022;EI-96W800-
PA000023;EI-125F-25
PA000024;EI-300W800
PA000025;EI-200W800
PA000026;EI-200F-25
PA000027;EI-225F 25
PA000028;EI-250F-25
PA000029;EI-300F-25
PA000030;EI-300W600
PA000031;EI-350F-25
PA000032;EI-140F-25
PA000033;EI-150F-25
PA000034;EI-160F-25
PA000035;EI-190F-25
PA000036;EI-220F-25
PA000037;EI-300-30K
PA000038;EI-400F-25
PA000039;EI-450F-25
PA000040;EI-500F-25
PA000041;EI-48W600-
PA000042;EI-48W800-
PA000043;EI-114W470
PA000044;EI-133W470
PA000045;EI-150W470
PA000046;EI-180W470
PA000047;EI-210W800
PA000048;EI-210W800
PA000049;EI-240W470
PA000050;EI-41W470-
PA000051;EI-76W470-
PA000052;EI-85W470-
PA000053;EI-96W470-
PA000054;
PA000055;
PA000056;
PA000057;
PA000058;
PA000059;
PA000060;
PA000061;
PA000062;
PA000063;
PA000064;
PA000065;
PA000066;
PA000067;
PA000068;
PA000070;EI-48W800-
PA000071;EI-48W800-
PA000072;
PA000073;
PA000074;
PA000075;
PA000076;
PA000077;
PA000078;
PA000079;
PA000080;
PA000081;
PA000082;
PA000083;
PA000084;
PA000085;
PA000086;
PA000087;
PA000088;
PA000089;
PA000090;
PA000091;
PA000092;
PA000093;
PA000094;
PA000095;
PA000096;
PA000097;
PA000098;
PA000099;
PA000100;
PA000101;
PA000102;
PA000103;
PA000104;
PA000105;
PA000106;
PA000107;
PA000108;
PA000109;
PA000110;
PA000111;
PA000112;
PA000113;
PA000114;
PA000115;
SV000010;
